Source,Target,Weight,Type
2009_0645539,2010_0664580,1,undirected
2009_0645613,2010_0669183_A1,1,undirected
2009_0645613,2011_0668756_A1,2,undirected
2009_0645613,2016_0745178,1,undirected
2009_0645613,2022_0825992,6,undirected
2009_0645613,2022_0831470,2,undirected
2009_0645807,2006_0609650,2,undirected
2009_0645807,2012_0678191_A1,1,undirected
2009_0645807,2016_0751977,3,undirected
2009_0646061,2009_0719782,3,undirected
2009_0646061,2011_0680884_A1,1,undirected
2009_0646061,2017_0754206,2,undirected
2009_0646356,2009_0641033,3,undirected
2009_0646356,2013_0699591,2,undirected
2009_0646356,2018_0782945,1,undirected
2009_0649805,2008_0636424,3,undirected
2009_0649805,2015_0729372,2,undirected
2009_0649805,2017_0758935,1,undirected
2009_0650836,2011_0722431,1,undirected
2009_0650836,2012_0678191_A1,3,undirected
2009_0650836,2019_0796765,2,undirected
2009_0650966,2006_0610033,1,undirected
2009_0650966,2006_0610285,3,undirected
2009_0650966,2016_0741744,2,undirected
2009_0651849,2013_0693987,2,undirected
2009_0651849,2015_0737594,3,undirected
2009_0651849,2023_0849125,1,undirected
2009_0651949,2011_0673859_A1,2,undirected
2009_0651949,2013_0690834,1,undirected
2009_0651949,2017_0767624,3,undirected
2009_0651972,2011_0668451_A1,2,undirected
2009_0651972,2011_0674921_A1,4,undirected
2009_0651972,2015_0724109,2,undirected
2009_0651972,2018_0774148,3,undirected
2009_0651972,2019_0788573,1,undirected
2009_0719782,2009_0646061,3,undirected
2009_0719782,2009_0719782,6,undirected
2009_0719782,2011_0680884_A1,1,undirected
2009_0719782,2017_0754206,2,undirected
2009_0719783,2007_0615718,1,undirected
2009_0719783,2007_0619316,2,undirected
2009_0719783,2007_0622595,1,undirected
2009_0719783,2010_0725150,3,undirected
2009_0719783,2011_0674722_A1,2,undirected
2009_0719783,2011_0721875,3,undirected
2009_0719783,2022_0823199,6,undirected
2009_0721514,2006_0608369,4,undirected
2009_0721514,2007_0622595,2,undirected
2009_0721514,2011_0722431,4,undirected
2009_0721514,2015_0738980,1,undirected
2009_0725149,2006_0605505,3,undirected
2009_0725149,2007_0615729,5,undirected
2009_0725149,2007_0619316,3,undirected
2009_0725149,2007_0621272,3,undirected
2009_0725149,2010_0724377,3,undirected
2009_0725149,2012_0723276,6,undirected
2009_0725149,2014_0723682,2,undirected
2009_0725149,2014_0723816,3,undirected
2009_0725149,2015_0742433,1,undirected
2009_0725149,2018_0773698,3,undirected
2009_0725149,2022_0822350,3,undirected
2010_0654181,2006_0607538,2,undirected
2010_0654181,2012_0697321,3,undirected
2010_0654181,2021_0811461,1,undirected
2010_0654778,2007_0618425,2,undirected
2010_0654778,2018_0773000,3,undirected
2010_0654778,2022_0823755,1,undirected
2010_0655349,2007_0628636,2,undirected
2010_0655349,2011_0678343_A1,1,undirected
2010_0655349,2019_0795604,2,undirected
2010_0655349,2021_0811461,6,undirected
2010_0656172,2006_0610204,1,undirected
2010_0656172,2006_0612272,3,undirected
2010_0656172,2014_0722256,2,undirected
2010_0656183,2012_0702670,1,undirected
2010_0656183,2014_0723631,6,undirected
2010_0656183,2018_0774382,2,undirected
2010_0657628,2009_0644116,3,undirected
2010_0657628,2014_0708668,1,undirected
2010_0657628,2017_0757806,1,undirected
2010_0657628,2017_0768151,2,undirected
2010_0657687,2014_0722256,3,undirected
2010_0657687,2015_0726288,3,undirected
2010_0657687,2015_0737594,2,undirected
2010_0657687,2017_0760943,1,undirected
2010_0657762,2007_0618425,2,undirected
2010_0657762,2010_0658130,3,undirected
2010_0657762,2016_0750760,1,undirected
2010_0658130,2006_0610285,3,undirected
2010_0658130,2007_0615202,2,undirected
2010_0658130,2008_0627962,6,undirected
2010_0658130,2008_0635667,3,undirected
2010_0658130,2010_0657762,3,undirected
2010_0658130,2010_0661224,3,undirected
2010_0658130,2010_0665553,4,undirected
2010_0658130,2011_0673859_A1,3,undirected
2010_0658130,2012_0679636_A1,2,undirected
2010_0658130,2012_0681212_A1,3,undirected
2010_0658130,2012_0686399,2,undirected
2010_0658130,2014_0708668,3,undirected
2010_0658130,2014_0708926,3,undirected
2010_0658130,2014_0714729,2,undirected
2010_0658130,2015_0735099,1,undirected
2010_0658130,2015_0738360,2,undirected
2010_0658130,2016_0745634,3,undirected
2010_0658130,2016_0750437,2,undirected
2010_0658130,2016_0750760,1,undirected
2010_0658130,2016_0752018,2,undirected
2010_0658130,2016_0752780,1,undirected
2010_0658130,2017_0755178,3,undirected
2010_0658130,2017_0767426,2,undirected
2010_0658130,2017_0767624,2,undirected
2010_0658130,2019_0785180,2,undirected
2010_0658130,2021_0809996,3,undirected
2010_0658130,2021_0810444,1,undirected
2010_0658130,2022_0828496,2,undirected
2010_0658130,2022_0830257,1,undirected
2010_0658130,2022_0830686,3,undirected
2010_0658130,2023_0835106,2,undirected
2010_0658130,2023_0842757,3,undirected
2010_0658130,2023_0848442,2,undirected
2010_0658176,2012_0702399,2,undirected
2010_0658176,2019_0788753,3,undirected
2010_0658176,2021_0819011,1,undirected
2010_0658780,2006_0610033,5,undirected
2010_0658780,2012_0687383,3,undirected
2010_0658780,2013_0693987,4,undirected
2010_0658780,2021_0810193,2,undirected
2010_0660010,2013_0700961,1,undirected
2010_0660010,2017_0758935,3,undirected
2010_0660010,2019_0799805,2,undirected
2010_0660550,2006_0608782,2,undirected
2010_0660550,2011_0675808_A1,6,undirected
2010_0660550,2014_0708926,1,undirected
2010_0661224,2010_0658130,3,undirected
2010_0661224,2014_0717058,3,undirected
2010_0661224,2015_0738522,1,undirected
2010_0661224,2020_0806040,2,undirected
2010_0661224,2021_0806629,2,undirected
2010_0661224,2022_0823755,1,undirected
2010_0661224,2022_0831982,1,undirected
2010_0662860,2006_0609028,1,undirected
2010_0662860,2007_0618425,1,undirected
2010_0662860,2010_0669183_A1,3,undirected
2010_0662860,2011_0345656_A1,2,undirected
2010_0662860,2011_0668451_A1,2,undirected
2010_0662860,2012_0680729_A1,1,undirected
2010_0662860,2016_0739777,1,undirected
2010_0662860,2016_0753549,1,undirected
2010_0663681,2006_0610204,3,undirected
2010_0663681,2009_0644116,1,undirected
2010_0663681,2010_0663796,3,undirected
2010_0663681,2013_0694570,2,undirected
2010_0663681,2015_0727527,2,undirected
2010_0663681,2015_0735099,5,undirected
2010_0663681,2017_0758877,3,undirected
2010_0663681,2021_0812367,4,undirected
2010_0663681,2023_0834137,1,undirected
2010_0663796,2010_0663681,3,undirected
2010_0663796,2011_0673859_A1,1,undirected
2010_0663796,2015_0729293,1,undirected
2010_0663796,2017_0759014,2,undirected
2010_0663925,2021_0806629,1,undirected
2010_0663925,2021_0810916,2,undirected
2010_0663925,2023_0833910,3,undirected
2010_0664580,2006_0610285,3,undirected
2010_0664580,2009_0645539,1,undirected
2010_0664580,2018_0783354,3,undirected
2010_0664580,2019_0795604,2,undirected
2010_0664580,2022_0831470,1,undirected
2010_0664580,2022_0831982,2,undirected
2010_0665312,2013_0691557,1,undirected
2010_0665312,2015_0733108,2,undirected
2010_0665312,2017_0755178,3,undirected
2010_0665312,2018_0771782,1,undirected
2010_0665553,2006_0610033,1,undirected
2010_0665553,2008_0627962,1,undirected
2010_0665553,2010_0658130,4,undirected
2010_0665553,2016_0750437,3,undirected
2010_0665553,2016_0752018,1,undirected
2010_0665553,2016_0752780,3,undirected
2010_0665553,2016_0753223,2,undirected
2010_0665553,2018_0783844,1,undirected
2010_0665553,2021_0810622,1,undirected
2010_0665553,2021_0812662,2,undirected
2010_0665553,2022_0828496,6,undirected
2010_0669183_A1,2006_0604700,2,undirected
2010_0669183_A1,2006_0605326,1,undirected
2010_0669183_A1,2006_0609028,2,undirected
2010_0669183_A1,2006_0610004,3,undirected
2010_0669183_A1,2007_0614376,1,undirected
2010_0669183_A1,2008_0628716,2,undirected
2010_0669183_A1,2009_0645613,1,undirected
2010_0669183_A1,2010_0662860,3,undirected
2010_0669183_A1,2011_0345656_A1,3,undirected
2010_0669183_A1,2011_0668451_A1,5,undirected
2010_0669183_A1,2013_0705006,2,undirected
2010_0669183_A1,2014_0717457,3,undirected
2010_0669183_A1,2014_0723182,2,undirected
2010_0669183_A1,2015_0735644,1,undirected
2010_0669183_A1,2016_0752018,6,undirected
2010_0669183_A1,2016_0753549,3,undirected
2010_0669183_A1,2017_0755178,2,undirected
2010_0669183_A1,2017_0755721,2,undirected
2010_0669183_A1,2023_0848268,1,undirected
2010_0669183_A1,2023_0848442,3,undirected
2010_0724377,2007_0615729,4,undirected
2010_0724377,2009_0725149,3,undirected
2010_0724377,2012_0687085,1,undirected
2010_0724377,2014_0723682,1,undirected
2010_0724377,2016_0743828,3,undirected
2010_0724377,2017_0768151,1,undirected
2010_0724377,2018_0774382,1,undirected
2010_0724378,2014_0723625,2,undirected
2010_0724378,2014_0723682,1,undirected
2010_0724378,2022_0825991,2,undirected
2010_0724378,2023_0839234,3,undirected
2010_0725141,2012_0725358,3,undirected
2010_0725141,2014_0723631,2,undirected
2010_0725141,2022_0831982,1,undirected
2010_0725143,2012_0702670,4,undirected
2010_0725143,2013_0690270,5,undirected
2010_0725143,2017_0754206,2,undirected
2010_0725150,2007_0615718,2,undirected
2010_0725150,2007_0622595,1,undirected
2010_0725150,2009_0719783,3,undirected
2011_0345656_A1,2010_0662860,2,undirected
2011_0345656_A1,2010_0669183_A1,3,undirected
2011_0345656_A1,2015_0735099,1,undirected
2011_0668451_A1,2006_0612262,1,undirected
2011_0668451_A1,2008_0628716,1,undirected
2011_0668451_A1,2009_0651972,2,undirected
2011_0668451_A1,2010_0662860,2,undirected
2011_0668451_A1,2010_0669183_A1,5,undirected
2011_0668451_A1,2011_0668756_A1,3,undirected
2011_0668451_A1,2012_0697321,2,undirected
2011_0668451_A1,2013_0690834,1,undirected
2011_0668451_A1,2013_0691810,3,undirected
2011_0668451_A1,2014_0717457,2,undirected
2011_0668451_A1,2015_0724109,3,undirected
2011_0668451_A1,2015_0729372,2,undirected
2011_0668451_A1,2015_0729917,3,undirected
2011_0668451_A1,2016_0739951,3,undirected
2011_0668451_A1,2016_0752009,1,undirected
2011_0668451_A1,2017_0758935,3,undirected
2011_0668451_A1,2017_0766420,1,undirected
2011_0668451_A1,2018_0778044,1,undirected
2011_0668451_A1,2019_0788573,1,undirected
2011_0668451_A1,2019_0799805,2,undirected
2011_0668451_A1,2020_0804133,2,undirected
2011_0668451_A1,2021_0810915,2,undirected
2011_0668451_A1,2021_0810916,4,undirected
2011_0668451_A1,2021_0813092,3,undirected
2011_0668451_A1,2021_0813136,1,undirected
2011_0668451_A1,2022_0833641,3,undirected
2011_0668756_A1,2009_0645613,2,undirected
2011_0668756_A1,2011_0668451_A1,3,undirected
2011_0668756_A1,2022_0831470,1,undirected
2011_0669771_A1,2013_0705006,1,undirected
2011_0669771_A1,2017_0755175,2,undirected
2011_0669771_A1,2019_0797166,3,undirected
2011_0669831_A1,2006_0609650,3,undirected
2011_0669831_A1,2014_0723624,2,undirected
2011_0669831_A1,2015_0738993,2,undirected
2011_0669831_A1,2016_0751977,2,undirected
2011_0669831_A1,2019_0796765,4,undirected
2011_0672112_A1,2016_0740516,3,undirected
2011_0672112_A1,2017_0768151,1,undirected
2011_0672112_A1,2019_0786696,1,undirected
2011_0672112_A1,2020_0803057,2,undirected
2011_0673859_A1,2009_0651949,2,undirected
2011_0673859_A1,2010_0658130,3,undirected
2011_0673859_A1,2010_0663796,1,undirected
2011_0673859_A1,2017_0767426,3,undirected
2011_0673859_A1,2019_0788573,1,undirected
2011_0674294_A1,2008_0638042,2,undirected
2011_0674294_A1,2014_0722256,1,undirected
2011_0674294_A1,2016_0741744,3,undirected
2011_0674372_A1,2008_0638042,1,undirected
2011_0674372_A1,2011_0722431,2,undirected
2011_0674372_A1,2017_0769021,3,undirected
2011_0674372_A1,2020_0805015,3,undirected
2011_0674722_A1,2007_0619316,3,undirected
2011_0674722_A1,2009_0719783,2,undirected
2011_0674722_A1,2013_0705158,1,undirected
2011_0674921_A1,2006_0610632,3,undirected
2011_0674921_A1,2009_0651972,4,undirected
2011_0674921_A1,2012_0723724,2,undirected
2011_0674921_A1,2016_0745369,1,undirected
2011_0674921_A1,2016_0748506,3,undirected
2011_0674921_A1,2018_0775415,3,undirected
2011_0674921_A1,2019_0788633,3,undirected
2011_0674921_A1,2022_0825992,5,undirected
2011_0674921_A1,2022_0831470,2,undirected
2011_0675656_A1,2006_0608782,1,undirected
2011_0675656_A1,2009_0642509,6,undirected
2011_0675656_A1,2012_0680635_A1,1,undirected
2011_0675656_A1,2017_0755849,2,undirected
2011_0675808_A1,2006_0608782,1,undirected
2011_0675808_A1,2007_0618425,2,undirected
2011_0675808_A1,2010_0660550,6,undirected
2011_0676189_A1,2017_0754540,2,undirected
2011_0676189_A1,2018_0772467,3,undirected
2011_0676189_A1,2022_0831470,1,undirected
2011_0676418_A1,2017_0766419,2,undirected
2011_0676418_A1,2021_0817829,1,undirected
2011_0676418_A1,2022_0828496,3,undirected
2011_0677018_A1,2009_0638953,3,undirected
2011_0677018_A1,2019_0788816,2,undirected
2011_0677018_A1,2020_0803057,1,undirected
2011_0678307_A1,2009_0642509,3,undirected
2011_0678307_A1,2013_0689275,1,undirected
2011_0678307_A1,2013_0689534,2,undirected
2011_0678343_A1,2007_0628636,3,undirected
2011_0678343_A1,2010_0655349,1,undirected
2011_0678343_A1,2017_0758935,2,undirected
2011_0680884_A1,2007_0626526,1,undirected
